date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:29:54	76738/76738	---MCZ	200	added ('OK')	application/javascript	etag:W/%228bfd891ca0f60ba8645c1061ef7fc427%22	https://kota.co.uk/_next/static/chunks/693-7374850d23702945.js	C:/xampp/htdocs/artistic/kota.co.uk/_next/static/chunks/693-7374850d23702945.js	(from https://kota.co.uk/)
22:29:54	15812/15812	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d65958a66b268d4103a11368ffdb28e0%22	https://kota.co.uk/_next/static/chunks/957-eeda0c67a3c92954.js	C:/xampp/htdocs/artistic/kota.co.uk/_next/static/chunks/957-eeda0c67a3c92954.js	(from https://kota.co.uk/)
22:29:54	60256/60256	---MCZ	200	added ('OK')	application/javascript	etag:W/%22aff0433f8bfc6cd3810e55f4f729efd2%22	https://kota.co.uk/_next/static/chunks/app/(home)/page-a3c12ee84f4d7be5.js	C:/xampp/htdocs/artistic/kota.co.uk/_next/static/chunks/app/(home)/page-a3c12ee84f4d7be5.js	(from https://kota.co.uk/)
22:29:54	12117/12117	---M--	200	added ('OK')	image/png	etag:%2295f66e09a0666a58ae1e167cc1eb0f89%22	https://kota.co.uk/icon.png?c6e807c869f7d63d	C:/xampp/htdocs/artistic/kota.co.uk/icon786d.png	(from https://kota.co.uk/)
22:29:55	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://kota.co.uk/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/xampp/htdocs/artistic/kota.co.uk/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://kota.co.uk/)
22:29:56	37571/37571	---MCZ	200	added ('OK')	text/html	etag:W/%2287bb48dbc5c552adbe55d393760557b0%22	https://kota.co.uk/start-your-project	C:/xampp/htdocs/artistic/kota.co.uk/start-your-project.html	(from https://kota.co.uk/)
22:29:56	119/119	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2003%20Jul%202024%2017:29:56%20GMT	https://kota.co.uk/work/	C:/xampp/htdocs/artistic/kota.co.uk/work/index.html	(from https://kota.co.uk/)
22:29:56	121/121	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2003%20Jul%202024%2017:29:58%20GMT	https://kota.co.uk/agency/	C:/xampp/htdocs/artistic/kota.co.uk/agency/index.html	(from https://kota.co.uk/)
22:29:58	126318/126318	---MCZ	200	added ('OK')	text/html	etag:W/%22aef3657c9ae20557759973f36c9deef5%22	https://kota.co.uk/service/creative-web-design	C:/xampp/htdocs/artistic/kota.co.uk/service/creative-web-design.html	(from https://kota.co.uk/)
22:29:58	145/145	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2003%20Jul%202024%2017:29:58%20GMT	https://kota.co.uk/service/web-design-development/	C:/xampp/htdocs/artistic/kota.co.uk/service/web-design-development/index.html	(from https://kota.co.uk/)
22:29:58	131/131	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2003%20Jul%202024%2017:29:58%20GMT	https://kota.co.uk/service/branding/	C:/xampp/htdocs/artistic/kota.co.uk/service/branding/index.html	(from https://kota.co.uk/)
22:29:58	140/140	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2003%20Jul%202024%2017:30:00%20GMT	https://kota.co.uk/service/digital-marketing/	C:/xampp/htdocs/artistic/kota.co.uk/service/digital-marketing/index.html	(from https://kota.co.uk/)
22:29:59	119/119	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2003%20Jul%202024%2017:30:00%20GMT	https://kota.co.uk/blog/	C:/xampp/htdocs/artistic/kota.co.uk/blog/index.html	(from https://kota.co.uk/)
22:29:59	122/122	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2003%20Jul%202024%2017:30:00%20GMT	https://kota.co.uk/culture/	C:/xampp/htdocs/artistic/kota.co.uk/culture/index.html	(from https://kota.co.uk/)
